round_id,agent_id,is_byzantine,base_prediction,perturbed_prediction,delta_r1,delta_r2,delta_r3,delta_r4,delta_r5,spectral_1,spectral_2,spectral_3,spectral_4,spectral_5,spectral_6,spectral_7,spectral_8,confidence,causal_nodes,causal_edges,reasoning
0,agent_000,1,3.1458058591533278,2.615785488062884,0,0,0,0,0,6.103330389161103,5.797957817386264,2.3741129606783753,0.4051662129634007,0.7928173603196071,0.1555399992667581,0.39700604921478216,0.7749258886616075,0.6,5,6,"基于场景: 央行提高利率对通胀率的影响"
0,agent_001,1,114.62121982602872,218.8732172268044,37.125707014636106,37.125707014636106,37.125707014636106,37.125707014636106,37.125707014636106,2.8478552351963042,3.571677410993423,2.032233596014951,0.8470638042111752,1.0868414904554222,0.44870198048796134,0.37194397573286153,0.7503320817257536,0.6,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
0,agent_002,1,11.80257522076843,19.939382915611937,9.457196562936755,9.457196562936755,9.457196562936755,9.457196562936755,9.457196562936755,5.6166360759797875,3.1212715089181557,2.342894862044631,0.4671789184768627,1.1075001365969728,0.21500960843231273,0.3692805072675911,0.5789557267552172,0.6,5,6,"基于场景: AI投资对企业效率的影响"
0,agent_003,0,3,3,0,0,0,0,0,5,6,3,0.5916666666666667,0.8,0,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
0,agent_004,0,180,210,30,30,30,30,30,5,5,3,0.5399999999999999,0.8,0.4466666666666667,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
0,agent_005,0,10,20,10,10,10,10,10,5,6,3,0.6083333333333333,0.8,0.45,0.3,0.85,0.9,5,6,"基于场景: AI投资对企业效率的影响"
0,agent_006,0,3,3,0,0,0,0,0,5,6,3,0.5833333333333334,0.8,0.16666666666666666,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
0,agent_007,0,180,210,30,30,30,30,30,5,5,3,0.54,0.8,0.32,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
0,agent_008,0,10,20,10,10,10,10,10,4,4,2,0.65,0.8,0.53,0.3333333333333333,0.85,0.9,4,4,"基于场景: AI投资对企业效率的影响"
0,agent_009,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0.9,0,0,"基于场景: 央行提高利率对通胀率的影响"
1,agent_000,0,3,3,0,0,0,0,0,5,6,3,0.5166666666666666,0.7,0.16666666666666666,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
1,agent_001,0,180,210,30,30,30,30,30,5,5,3,0.5399999999999999,0.8,0.38000000000000006,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
1,agent_002,0,10,20,10,10,10,10,10,4,4,2,0.65,0.8,0.53,0.3333333333333333,0.85,0.9,4,4,"基于场景: AI投资对企业效率的影响"
1,agent_003,0,3,3,0,0,0,0,0,4,4,2,0.5499999999999999,0.7,0.2,0.3333333333333333,0.85,0.9,4,4,"基于场景: 央行提高利率对通胀率的影响"
1,agent_004,0,180,210,30,30,30,30,30,5,5,3,0.58,0.8,0.5533333333333333,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
1,agent_005,0,15,20,5,5,5,5,5,5,6,3,0.5499999999999999,0.8,0.42,0.3,0.85,0.9,5,6,"基于场景: AI投资对企业效率的影响"
1,agent_006,0,3,3,0,0,0,0,0,5,6,3,0.6249999999999999,0.8,0.13333333333333333,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
1,agent_007,0,180,210,30,30,30,30,30,5,5,3,0.54,0.8,0.48666666666666664,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
1,agent_008,0,10,20,10,10,10,10,10,5,6,3,0.5499999999999999,0.8,0.37666666666666665,0.3,0.85,0.9,5,6,"基于场景: AI投资对企业效率的影响"
1,agent_009,0,3,3,0,0,0,0,0,5,6,3,0.6166666666666667,0.8,0.19999999999999998,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
